total cost: 22105.7000000009
1334 73510 0
1335 78349 0.19
1336 32194 0.52
1337 72042 0.27
1338 78919 0.07
1339 21539 0.18
1340 35683 0.07
1341 7692 0.03
1342 34575 0.12
1343 80278 0.18
1344 95080 0.36
1345 50230 0.3
1346 40951 0.21
1347 40071 0.3
1348 58542 0.44
1349 25153 0.12
1350 59937 0.01
1351 68671 0.44
1352 21054 0.03
1353 29645 0.18
1354 22700 0.06
1355 33844 0.2
1356 4814 0.51
1357 88134 0.37
1358 95562 0.05
1359 4997 0.28
1360 23458 0.2
1361 78778 0.08
1362 22827 0.15
1363 1027 0.02
1364 42149 0.3
1365 28253 0.18
1366 2780 0.21
1367 92627 0.12
1368 68773 0.56
1369 17742 0.57
1370 37685 0.22
1371 64630 0.25
1372 57683 0.42
1373 55931 0.08
1374 1870 0.02
1375 4496 0.27
1376 63471 0.02
1377 63873 0.26
1378 34882 0.17
1379 53290 0.05
1380 80779 0.39
1381 52811 0.05
1382 27568 0.34
1383 61566 0.15
1384 53903 0.36
1385 26793 0.01
1386 79337 0.54
1387 19368 0.24
1388 69432 0.18
1389 90300 0.26
1390 18085 0.07
1391 49782 0.21
1392 68031 0.22
1393 29950 0.1
1394 28192 0.25
1395 87491 0.22
1396 58717 0.37
1397 81358 0.19
1398 66692 0.14
1399 33834 0.38
1400 5453 0.72
1401 99518 0.51
1402 5928 0.14
1403 84684 0.15
1404 27487 0.73
1405 19161 0.09
1406 37923 0.05
1407 68774 0.42
1408 29659 0.19
1409 10753 0.51
1410 89120 0.41
1411 62200 0.28
1412 7588 0.09
1413 7364 0.08
1414 94643 0.12
1415 85439 0.23
1416 21901 0.92
1417 12267 0.18
1418 60087 0.31
1419 64132 0.4
1420 92315 0.05
1421 97845 0.27
1422 63155 0.15
1423 47049 0.22
1424 46377 0.07
1425 12397 0.23
1426 46833 0.5
1427 92033 0.25
1428 18267 0.34
1429 40602 0.22
1430 6756 0.13
1431 52382 0.05
1432 20042 0.05
1433 20832 0.18
1434 26390 0.15
1435 39022 0.25
1436 58559 0.13
1437 95194 0.4
1438 1534 0.21
1439 78268 0.22
1440 65977 0.24
1441 50584 0.05
1442 8040 0.27
1443 14581 0.12
1444 5842 0.34
1445 5271 0.12
1446 38869 0.48
1447 52005 0.14
1448 38349 0.07
1449 9185 0.02
1450 42645 0.26
1451 72766 0.18
1452 59332 0.17
1453 6755 0.67
1454 24594 0.59
1455 23216 0.13
1456 57662 0.14
1457 13678 0.05
1458 54703 0.34
1459 7045 0.16
1460 47431 0.03
1461 3023 0.08
1462 23624 0.23
1463 3993 0.04
1464 8778 0.23
1465 17596 0.21
1466 57783 0.01
1467 24905 0.27
1468 53354 0.39
1469 95164 0.15
1470 81268 0.22
1471 4300 0.87
1472 74203 0.36
1473 8536 0.22
1474 49353 0.23
1475 22474 0.08
1476 92626 0.14
1477 19807 0.45
1478 28366 0.1
1479 3727 0.15
1480 33153 0.16
1481 31879 0.02
1482 67737 0.16
1483 57737 0.28
1484 10577 0.42
1485 21191 0.26
1486 91476 0.23
1487 7776 0.18
1488 33580 0.04
1489 75203 0.18
1490 26172 0.16
1491 99775 0.35
1492 36174 0.06
1493 9517 0.02
1494 88240 0.29
1495 37018 0.01
1496 46315 0.15
